text,happy,depressed,surprised,angry,neutral
Sess31_script02_User062M_001,0.1,0.0,0.0,0.0,0.9
Sess32_script05_User063M_037,0.2,0.1,0.0,0.0,0.7
Sess12_script01_User081F_020,0.0,0.0,0.0,0.0,1.0
Sess16_script02_User032M_022,0.1,0.0,0.0,0.0,0.9
Sess32_script03_User063M_021,0.1,0.0,0.0,0.0,0.9
Sess23_script02_User046M_022,0.0,0.0,0.0,0.3,0.7
Sess33_script04_User065M_016,0.0,0.0,0.0,0.1,0.9
Sess09_script04_User018M_026,0.5,0.0,0.0,0.1,0.4
Sess11_script03_User021M_004,0.7,0.0,0.0,0.1,0.2
Sess03_script03_User005M_025,0.0,0.0,0.2,0.5,0.3
Sess39_script04_User077F_021,0.0,0.0,0.0,0.0,1.0
Sess08_script06_User015F_030,0.0,0.0,0.8,0.0,0.2
Sess26_script06_User051M_012,0.0,0.0,0.0,0.0,1.0
Sess19_script03_User037M_027,0.3,0.0,0.0,0.0,0.7
Sess16_script02_User032M_028,0.0,0.0,0.0,0.4,0.6
Sess11_script06_User022M_012,0.0,0.0,0.0,0.0,1.0
Sess24_script05_User048F_003,0.7,0.0,0.0,0.0,0.3
Sess16_script03_User032M_015,0.4,0.0,0.4,0.0,0.2
Sess14_script02_User027F_012,0.0,0.5,0.0,0.0,0.5
Sess15_script05_User029M_013,0.0,0.2,0.0,0.0,0.8
Sess05_script02_User009M_010,0.0,0.0,0.0,0.0,1.0
Sess16_script04_User031M_008,0.0,0.0,0.2,0.0,0.8
Sess30_script06_User060F_028,0.2,0.0,0.0,0.4,0.4
Sess17_script01_User083F_004,0.7,0.0,0.1,0.0,0.2
Sess01_script02_User001F_002,0.0,0.0,0.0,0.0,1.0
Sess13_script02_User025F_019,0.2,0.0,0.0,0.1,0.7
Sess22_script03_User044F_005,0.5,0.0,0.0,0.0,0.5
Sess21_script06_User042F_019,0.0,0.0,0.2,0.2,0.6
Sess40_script02_User080F_029,0.1,0.0,0.0,0.0,0.9
Sess10_script02_User019F_021,0.0,0.0,0.0,0.0,1.0
Sess18_script04_User036M_005,0.0,0.0,0.0,0.0,1.0
Sess38_script05_User075M_006,0.0,0.0,0.0,0.0,1.0
Sess27_script05_User054M_013,0.0,0.0,0.1,0.0,0.9
Sess03_script04_User005M_003,0.0,0.0,0.2,0.3,0.5
Sess33_script01_User065M_017,0.0,0.0,0.0,0.0,1.0
Sess34_script04_User067M_027,0.0,0.2,0.0,0.0,0.8
Sess25_script01_User050F_029,0.7,0.0,0.1,0.0,0.2
Sess36_script05_User072F_008,0.6,0.0,0.0,0.0,0.4
Sess09_script06_User018M_017,0.0,0.2,0.0,0.0,0.8
Sess10_script02_User019F_015,0.0,0.0,0.0,0.6,0.4
Sess33_script06_User066M_026,0.0,0.0,0.0,0.0,1.0
Sess04_script02_User008F_010,0.0,0.1,0.0,0.6,0.3
Sess08_script04_User015F_001,0.2,0.0,0.1,0.4,0.3
Sess27_script05_User054M_009,0.9,0.0,0.0,0.0,0.1
Sess17_script06_User084F_024,0.0,0.0,0.1,0.1,0.8
Sess19_script01_User038F_039,0.1,0.0,0.4,0.0,0.5
Sess03_script03_User005M_005,0.3,0.0,0.0,0.0,0.7
Sess15_script05_User030M_010,0.5,0.0,0.0,0.0,0.5
Sess36_script05_User071M_023,0.5,0.0,0.0,0.0,0.5
Sess17_script04_User084F_007,0.0,0.0,0.0,0.2,0.8
Sess16_script02_User031M_003,0.2,0.0,0.0,0.0,0.8
Sess16_script04_User031M_034,0.0,0.1,0.0,0.0,0.9
Sess27_script01_User053M_006,0.4,0.0,0.3,0.0,0.3
Sess05_script03_User010M_012,0.1,0.0,0.0,0.0,0.9
Sess21_script05_User041F_005,0.0,0.0,0.0,0.0,1.0
Sess14_script02_User028M_007,0.0,0.0,0.0,0.1,0.9
Sess06_script03_User012M_027,0.0,0.0,0.0,0.0,1.0
Sess34_script03_User067M_024,0.0,0.0,0.1,0.0,0.9
Sess24_script01_User048F_008,0.3,0.0,0.0,0.0,0.7
Sess08_script03_User016F_013,0.1,0.0,0.0,0.0,0.9
Sess06_script01_User012M_024,0.0,0.0,0.1,0.0,0.9
Sess19_script01_User037M_036,0.0,0.0,0.0,0.0,1.0
Sess22_script03_User043F_020,0.0,0.2,0.0,0.0,0.8
Sess12_script05_User082F_010,0.0,0.2,0.0,0.0,0.8
Sess02_script04_User003F_011,0.0,0.0,0.0,0.1,0.9
Sess09_script02_User018M_027,0.0,0.0,0.0,0.0,1.0
Sess01_script03_User002M_001,0.2,0.0,0.0,0.0,0.8
Sess21_script06_User041F_015,0.0,0.0,0.1,0.0,0.9
Sess39_script04_User078F_014,0.1,0.0,0.0,0.0,0.9
Sess08_script02_User015F_024,0.0,0.0,0.0,0.8,0.2
Sess36_script05_User071M_002,0.4,0.0,0.0,0.0,0.6
Sess09_script06_User017M_028,0.0,0.3,0.0,0.1,0.6
Sess37_script01_User073F_027,0.0,0.3,0.0,0.0,0.7
Sess10_script06_User020M_024,0.0,0.0,0.0,0.2,0.8
Sess33_script03_User066M_035,0.5,0.0,0.0,0.0,0.5
Sess18_script06_User036M_002,0.0,0.0,0.0,0.0,1.0
Sess38_script03_User075M_012,0.0,0.0,0.1,0.0,0.9
Sess16_script06_User031M_015,0.1,0.0,0.1,0.4,0.4
Sess40_script04_User079F_047,0.0,0.0,0.0,0.0,1.0
Sess11_script03_User022M_032,0.2,0.0,0.0,0.0,0.8
Sess34_script06_User067M_017,0.0,0.3,0.0,0.0,0.7
Sess34_script03_User068M_029,0.1,0.0,0.0,0.0,0.9
Sess17_script04_User084F_012,0.0,0.0,0.0,0.4,0.6
Sess14_script01_User028M_017,0.2,0.0,0.0,0.0,0.8
Sess25_script02_User049M_024,0.0,0.0,0.0,0.0,1.0
Sess09_script03_User017M_007,0.7,0.0,0.0,0.0,0.3
Sess40_script02_User079F_031,0.0,0.0,0.2,0.2,0.6
Sess06_script06_User012M_008,0.0,0.2,0.1,0.0,0.7
Sess39_script01_User077F_010,0.0,0.0,0.0,0.0,1.0
Sess32_script04_User064F_020,0.4,0.0,0.1,0.0,0.5
Sess16_script03_User032M_002,0.8,0.0,0.1,0.0,0.1
Sess39_script04_User077F_002,0.0,0.0,0.0,0.0,1.0
Sess10_script03_User020M_025,0.0,0.0,0.1,0.1,0.8
Sess03_script03_User006M_033,0.1,0.0,0.0,0.0,0.9
Sess30_script03_User060F_021,0.0,0.2,0.0,0.0,0.8
Sess02_script02_User004M_005,0.0,0.2,0.0,0.0,0.8
Sess36_script02_User072F_020,0.0,0.1,0.1,0.0,0.8
Sess13_script05_User025F_027,0.4,0.0,0.0,0.0,0.6
Sess22_script05_User044F_025,0.6,0.0,0.0,0.0,0.4
Sess29_script01_User058F_030,0.0,0.0,0.3,0.0,0.7
Sess27_script05_User053M_033,0.1,0.0,0.0,0.0,0.9
Sess13_script06_User026F_001,0.8,0.0,0.0,0.0,0.2
Sess10_script06_User020M_001,0.0,0.0,0.0,0.0,1.0
Sess03_script06_User005M_022,0.0,0.0,0.1,0.4,0.5
Sess10_script05_User020M_009,0.0,0.3,0.0,0.0,0.7
Sess07_script04_User014M_008,0.1,0.0,0.0,0.0,0.9
Sess40_script04_User079F_030,0.0,0.0,0.0,0.3,0.7
Sess22_script04_User043F_016,0.1,0.1,0.0,0.0,0.8
Sess04_script03_User007M_013,0.3,0.0,0.4,0.0,0.3
Sess06_script04_User012M_023,0.0,0.0,0.0,0.0,1.0
Sess08_script01_User015F_033,0.7,0.0,0.0,0.0,0.3
Sess02_script01_User004M_015,0.0,0.0,0.0,0.0,1.0
Sess35_script05_User069F_018,0.7,0.0,0.0,0.0,0.3
Sess35_script01_User070F_006,0.0,0.2,0.0,0.0,0.8
Sess19_script05_User038F_007,0.1,0.0,0.6,0.0,0.3
Sess16_script04_User032M_018,0.0,0.0,0.2,0.0,0.8
Sess20_script04_User039M_002,0.0,0.0,0.0,0.0,1.0
Sess11_script02_User021M_019,0.0,0.0,0.0,0.1,0.9
Sess19_script02_User038F_007,0.0,0.0,0.0,0.0,1.0
Sess33_script05_User066M_002,0.0,0.0,0.0,0.0,1.0
Sess39_script01_User077F_034,0.5,0.0,0.0,0.0,0.5
Sess09_script04_User017M_031,0.0,0.0,0.0,0.0,1.0
Sess32_script04_User064F_035,0.4,0.0,0.1,0.0,0.5
Sess08_script06_User015F_014,0.3,0.1,0.0,0.0,0.6
Sess34_script02_User067M_032,0.0,0.0,0.4,0.0,0.6
Sess36_script06_User071M_001,0.3,0.0,0.0,0.0,0.7
Sess40_script05_User080F_007,0.1,0.0,0.0,0.0,0.9
Sess27_script06_User053M_006,0.0,0.0,0.0,0.4,0.6
Sess02_script06_User003F_021,0.0,0.0,0.0,0.0,1.0
Sess17_script03_User084F_011,0.0,0.0,0.2,0.0,0.8
Sess31_script01_User061M_016,0.4,0.0,0.0,0.0,0.6
Sess38_script01_User075M_031,0.0,0.2,0.0,0.0,0.8
Sess23_script02_User046M_005,0.0,0.0,0.0,0.5,0.5
Sess07_script04_User014M_007,0.0,0.0,0.0,0.0,1.0
Sess27_script05_User053M_014,0.0,0.0,0.2,0.0,0.8
Sess32_script01_User063M_052,0.4,0.0,0.0,0.0,0.6
Sess14_script02_User027F_008,0.0,0.1,0.0,0.1,0.8
Sess39_script03_User077F_020,0.1,0.0,0.1,0.0,0.8
Sess07_script03_User013M_009,0.0,0.0,0.4,0.0,0.6
Sess29_script02_User057F_026,0.0,0.0,0.0,0.0,1.0
Sess07_script06_User014M_020,0.0,0.0,0.0,0.0,1.0
Sess39_script04_User077F_028,0.0,0.0,0.0,0.3,0.7
Sess35_script03_User069F_008,0.0,0.1,0.0,0.0,0.9
Sess21_script04_User041F_010,0.0,0.3,0.1,0.0,0.6
Sess26_script04_User051M_010,0.0,0.0,0.0,0.0,1.0
Sess24_script01_User047F_021,0.1,0.0,0.0,0.0,0.9
Sess01_script04_User001F_011,0.0,0.1,0.0,0.0,0.9
Sess16_script02_User031M_043,0.0,0.0,0.0,0.1,0.9
Sess02_script05_User004M_019,0.0,0.0,0.0,0.0,1.0
Sess15_script05_User029M_002,0.0,0.2,0.0,0.0,0.8
Sess40_script02_User080F_008,0.4,0.0,0.0,0.0,0.6
Sess12_script06_User082F_005,0.0,0.1,0.0,0.0,0.9
Sess25_script03_User049M_025,0.0,0.0,0.0,0.0,1.0
Sess06_script03_User012M_007,0.0,0.0,0.0,0.0,1.0
Sess34_script01_User068M_021,0.3,0.2,0.0,0.0,0.5
Sess04_script01_User007M_014,0.7,0.0,0.0,0.0,0.3
Sess39_script02_User077F_028,0.0,0.0,0.0,0.0,1.0
Sess33_script05_User065M_017,0.0,0.1,0.0,0.0,0.9
Sess17_script01_User084F_023,0.0,0.0,0.0,0.0,1.0
Sess07_script02_User014M_022,0.0,0.0,0.2,0.0,0.8
Sess38_script06_User076F_007,0.0,0.3,0.0,0.3,0.4
Sess10_script02_User020M_003,0.0,0.0,0.0,0.4,0.6
Sess04_script05_User007M_014,0.7,0.0,0.0,0.0,0.3
Sess32_script03_User064F_009,0.1,0.0,0.0,0.0,0.9
Sess29_script06_User057F_015,0.0,0.0,0.0,0.0,1.0
Sess11_script04_User022M_031,0.0,0.0,0.0,0.4,0.6
Sess24_script01_User048F_015,0.1,0.0,0.4,0.0,0.5
Sess15_script05_User029M_017,0.0,0.1,0.0,0.3,0.6
Sess13_script03_User026F_020,0.7,0.0,0.0,0.0,0.3
Sess05_script03_User010M_006,0.0,0.0,0.0,0.0,1.0
Sess36_script06_User072F_017,0.2,0.0,0.3,0.0,0.5
Sess30_script02_User060F_013,0.0,0.2,0.0,0.0,0.8
Sess15_script05_User029M_037,0.1,0.3,0.0,0.0,0.6
Sess06_script05_User012M_007,0.0,0.0,0.0,0.0,1.0
Sess05_script02_User009M_026,0.0,0.2,0.0,0.0,0.8
Sess16_script06_User031M_020,0.2,0.0,0.0,0.6,0.2
Sess10_script03_User020M_038,0.6,0.0,0.1,0.0,0.3
Sess33_script05_User066M_021,0.0,0.0,0.0,0.0,1.0
Sess18_script04_User035M_005,0.0,0.1,0.0,0.0,0.9
Sess08_script05_User015F_013,0.0,0.0,0.1,0.1,0.8
Sess28_script01_User055M_015,0.0,0.0,0.0,0.0,1.0
Sess38_script04_User076F_013,0.0,0.0,0.2,0.2,0.6
Sess05_script03_User009M_005,0.0,0.0,0.0,0.0,1.0
Sess39_script05_User077F_016,0.0,0.0,0.0,0.0,1.0
Sess14_script05_User028M_011,0.0,0.3,0.0,0.1,0.6
Sess40_script02_User079F_019,0.4,0.0,0.0,0.0,0.6
Sess13_script02_User025F_024,0.2,0.2,0.0,0.0,0.6
Sess10_script05_User020M_022,0.3,0.0,0.0,0.0,0.7
Sess23_script02_User046M_015,0.0,0.0,0.0,0.2,0.8
Sess15_script01_User030M_027,0.0,0.0,0.0,0.0,1.0
Sess27_script04_User054M_005,0.1,0.0,0.0,0.0,0.9
